KPN,Description,Type,Cost
200640,"SDC , AB04V ANGLE BRACKET 1.5X2X8.5 FOR 1581 ALUM",LOCKS,23.01
200639,"Aiphone JOS-1F Kit - Includes JO-1MD, JO-DVF & 1820UL PS",COMM,360.39
200636,Salto Setup Software License,SOFTWARE,400.68
200635,Salto PPD800 USB to PC,COMPUTER,357.27
200634,Salto Sallis NODE (16 locks)12V (PS not inlcuded),COMPUTER,59.07
200633,Salto Sallis ROUTER POE 12V (PS not inlcuded),COMPUTER,121.73
200632,Salto Round Rose for AElement Handle Set,LOCKS,44.31
200631,"Salto MORTISE Grade 1, Deadbolt ,626 LH",LOCKS,69.61
200630,*Discontinued product,LOCKS,139.33
200629,Salto AElement Wireless Reader for Mortise Lock,READERS,125.94
200628,AIO Arch Reader Electronics w/bezel - Weatherized,AIO,201.95
200626,AIO Arch Reader Electronics only - Weatherized,AIO,199
200624,AIO Arch Reader Complete w/glass+bezel - Weatherized,AIO,285
200622,AIO Mullion Reader- Weatherized  w/H-Prox,AIO,170.01
200621,AIO Mullion Reader - Weatherized,AIO,138.87
200620,AIO Mullion Reader w/H-Prox,AIO,169.9
200619,AIO Mullion Reader,AIO,137.86
200618,AIO Wall Reader - Weatherized w/H-Prox,AIO,171.88
200617,AIO Wall Reader - Weatherized,AIO,150.37
200616,AIO Wall Reader w/H-Prox,AIO,974.11
200615,AIO Wall Reader,AIO,137.93
200614,Vanco EVEX2004 HDMI Extender over Coax W/IR,COMM,119.99
200613,10497 W-4.7K  R-60F WG 4.7K WHITE STRAIGHT CONTACTS,CONTACTS,7.28
200612,FARPOINTE P-640 -H  THIN LINE  READER WITH KEYPAD,READERS,125.92
200611,Tripp Lite SRSHELF2P 2U Rack Shelf Black - 60lb Capacity,BOXES,70.44
200610,*Discontinued product,BOXES,0
200607,Kingston USB 3.0 SuperSpeed All-in-One Media Card Reader Gen,READERS,24.25
200606,Single button pendant transmitter EN1233S,BUTTONS,91.38
200605,ELM611-Prox/ Multiclass RAL 1013- HID Proxpoint reader (OYS,READERS,562.99
200604,COM611-01 RAL 1013- Code Lock Module (OYSTER WHITE),PANELS,271.97
200603,TM612-01 RAL 1013- Call Button Module - 1 Button for SIC3000,BUTTONS,88.05
200602,Aiphone GT-1C7 Audio/Video Tenant Station for the GT Series,COMM,276.62
200601,Aiphone GT-GTWLC Lift Control Adapter,COMM,196.05
200600,Aiphone GT-202HB 4-Module Surface Box 2H x 2V,COMM,158.42
200599,Aiphone GF-2F 2-Module Front Frame Bracket for the GT System,COMM,14.85
200598,Aiphone GF-1P 1-Call Panel for the GT-SW,COMM,12.87
200597,Aiphone GF-4P 4-Call Panel for the GT-SW,COMM,14.85
200596,Aiphone GT-SW 4 Call Switch Module for the GT Entrance Panel,COMM,19.99
200595,Aiphone GT-DPL Front Panel Cover for the GT-DAL Voice Module,COMM,25.75
200594,Aiphone GT-DAL Audio Speaker Module with guidance for the GT,COMM,78.22
200593,Aiphone GT-VP Camera Module Panel for the GT Series,COMM,18.82
200592,Aiphone GT-VAA Camera Module for 7 GT Entrance Panel,COMM,177.23
200591,FARPOINTE P-620-H MULLION READER WITH KEYPAD,READERS,125.73
200590,"Ganz PixelPro ZN-D5DTMP58LHE 3MP Indoor IR Dome 12/24VAC, IP",VIDCAMERA,537.52
200589,"MT-20W Multi-Technology Entollment Reader, WI-FI",READER,390.08
200588,SCHLAGE LE SERIES  MORTISE LOCK WITH DEADLATCH  LE-GRW-MD-L-,LOCKS,679.27
200586,Schlage Series Mortise Lock Storeroom Function LE-GRW-M,LOCK,628.61
200585,Cisco SG300-52Port Gigabit Ethernet Switch,COMM,1050
200584,PLANAR LA1710R OPEN FRAME 17INCH MONITOR,CCTV,374.86
200583,Axis T8313 Jog Dial Joystick 5020-301,CONTROL,309.51
200582,Micro Dome Camera Wall Mount,CCTV,24
200581,Micro Dome Camera Adaptor Plate,CCTV,15
200580,"Ganz ZM-L19 19in. LED monitor, HDMI, VGA & BNC Input",CCTV,290.81
200579,"Ganz ZN-DNT352XE Outdoor Dome, 1080p, 3-9mm, POE, WDR",VIDCAMERA,467.9
200578,"Ganz ZN1-D4NMZ43L Indoor Dome, 1080p, 3-9mm Proset, IR, WDR",VIDCAMERA,330.84
200577,"Ganz NR1-16F26S-6TB 16CH DVR, 480 FPS@1080p, 6HDD slots",VIDCAMERA,1739
200576,ELM611- Prox/ Multiclass SM - HID Proxpoint reader (SILVER),READERS,431.98
200575,tm612-01 SM  - Call button moduel- 1 button for SIC3000 and,BOARDS,105
200574,MR611-3/1-0 - 3 position mounting frame,PANELS,54.7
200573,KR611-3/1-0 - Flush mount frame Three postiton titan (SILVER,PANELS,55.8
200572,GU611-3/1-0- 3 Module flush Mounting Housing,BOXES,20.05
200570,NVT NV-EC1701U-KIT3 Triple Device Ethernet over 2-Wire Eo2 S,COMM,513.99
200567,Trendnet TI-PG102 10P Industrial GB PoE+ DIN-Rail Switch,COMM,375.71
200566,"Axis Q1942-E Thermal Camera 30FPS, 35MM Lens",VIDCAMERA,4455.87
200565,Trendnet TFC-GMSC Multi-Mode SC Fiber Converter,COMM,56.14
200563,Trendnet TI-G50 5-Port Hardened Ind. GIG ABIT Switch,COMM,98.05
200562,OMNIKEY 5427CK SMART CARD ENROLLING  READERS,READERS,153.55
200560,CV169 4MP Outdoor Dome,CCTV,510
200559,CV168 - CHECKVIDEO 4MP OUTDOOR DOME CAMERA,CCTV,279.54
200557,"GANZ DN312XE -M INDOOR DOME PROSET 3-9MM , POE ,WDR",CCTV,449.87
200556,"GANZ M4FN3 INDOOR MINI DOME 2.8MM POE, WDR",CCTV,267.75
200555,Avigilon CM-MT-WALL1 Wall Mount Arm,VIDCAMERA,50.37
200554,Avigilon 12W-H3-4MH-DP1-B 4x3 MP 2.8-8mm Pendant Dome,VIDCAMERA,1345.29
200553,"AIPHONE, JKS-IPEV  , COLOR KIT IP VIDEO (JK-DV+JK-MED-JK-WIP",INTERCOM,1015.26
200551,Gentex GEC3-12WW 12VDC White Wall Mount Horn Strobe,SPECIAL,38.36
200550,Panasonic WV-SF438 3MP Full HD Day/Nicght 360 Deg. Panoramic,VIDCAMERA,723.52
200549,"Panasonic WV-CP634, Analog Indoor Box Camera",CCTV,511.53
200548,"GEC-TVN2116S16T , 1.0 TruVision NVR 21S, 16-Channel, IP H.26",CCTV,3650.85
200547,"PELCO CM9700CC1 , CPU CONTROLLER LARGE MATRIX",CCTV,3768.88
200544,SDC HDB1X DARK BRONZE HERCLITE BRACKET FOR 1581 MAG LOCK,LOCKS,135
200543,SDC HDV1BY   BLACK ANODIZED HERCLITE BRACKET FOR 1581 MAG LO,LOCKS,132.69
200542,"SDC 1581XD, MAG LOCK WITH DPS , DARK BRONZE 6500LB FORCE",LOCKS,251.49
200541,"SDC 1581YD, MAG LOCK WITH DPS ,  BLACK ANODIZED FINISH 6500L",LOCKS,257.5
200540,"SDC 1581CD, MAG LOCK WITH DPS , BRASS FINISH 6500LB F",LOCKS,231
200539,"SDC 1581PD , MAG LOCK WITH DPS , POLISH CHROME FINISH 6500LB",LOCKS,231.8
200538,Ubiquiti PBE-5AC-300-ISO Powerbeam ACISO Bridge RF Isolated,COMM,143.49
200537,Trendnet TI-G62 6P Hard Ind. Gig DIN-Rail Switch,COMM,188.67
200536,PELCO IWMGY WALL MOUNT  INTERCEPT GRAY OR BLACK,CCTV,64.65
200534,"Axis Q1942-E Thermal Camera 30FPS, 60MM Lens",VIDCAMERA,5802.73
200533,Trendnet TI-PG1284i 12P Hard Ind. GB PoE+ Layer 2+ Mgd. DIN-,COMM,651.65
200532,StarTech SFPC1110 GB RJ45 Copper SFP Transceiver Module,COMM,68.25
200531,Aiphone IX-MV Video Master Station,COMM,850.25
200530,TRUVISION NVR TVN2216P12T  22 H.265 16 CH  IP 2U  12TB,CCTV,3140.8
200529,"MONITOR CCTV 22INCH WITH BNC , HDMI, VGA",CCTV,254.83
200528,CondoPlex unit - Outdoor - ELP1040VTO,TEST,5400
200527,CondoPlex unit - Indoor - ELP1040VTS,TEST,4400
200526,"TRUVISION  TVR4416HD4T  DVR 44HD  ,1080P , 16CH  4TB",CCTV,1070.53
200525,Pelco EM2400 Light Duty Wall Mount,CCTV,123.4
200524,"Samsung SNV-6084R IP Vandal Resistant IR Dome Camera, 2MP",VIDCAMERA,618.59
200523,Samsung SNV-5084R WiseNet III Network Vandal IR Dome Camera,VIDCAMERA,564.76
200522,"Samsung MB-MP128DA/AM, 128GB EVO microSDXC Card",CCTV,27.98
200521,Altronix Waypoint 30A Power Supply,POWER,205.63
200520,Avigilon ENC-BRK1U  Bracket for RM 3 Encoders,CCTV,30.41
200519,Avigilon HD-NVR3-PRM-48TB-NA 2U RM WS2012R2,COMPUTER,12449.41
200518,Trendnet TPE-2840WS 28P Gig WS PoE+ Switch,COMM,263.77
200517,Altronix ALT-VERTILINE16I 16 Output RM CCTV PS 24/28 VAC,POWER,320.23
200516,Pelco PT680-24p Outdoor P/T 24VAC,BOXES,1549.71
200515,Axis M7011 1-Port Video Encoder POE,COMM,155.81
200514,Axis Q7411 Video Encoder,COMM,311.63
200513,Aiphone IX-SDH SFM Enclosure for IX-DA or IX-BA,BOXES,133.56
200512,"Aiphone IX-BA IP Audio Door Station, SFM",COMM,401.99
200511,SONY YTLDR632S  SMOKED DOME COVER FOR SNCWR SERIES,CCTV,252.88
200510,SONY SNCER585 NETWORK FULL HD RAPID DOME CAMERA WITH 3,CCTV,3038.25
200509,SONY UNIID7T3 7INCH INDOOR RECESSED HOUSING TINTED 1,CCTV,188.27
200508,SONY  SNCER580  20X WIDE DYNAMIC PTZ DOME H.264,CCTV,2419.69
200507,"Cisco SG300-10 SWITCH  8 x Gigabit Ethernet Network Ports, a",CCTV,401.12
200506,SDC FILLER 3 /8 X 1  1/4 X 8  1/2  ALUM FOR 1581 MAG,LOCKS,17
200505,SDC FILLER 1/4 X 1  1/4 X 8  1/2  ALUM FOR 1581 MAG,LOCKS,17
200504,LOCK ADAMS RITE 4300  STRIKE  HAWK Elatch  1 1/8  backset 24,LOCKS,308.23
200503,WD Gold Datacenter HD WD6002FRYZ 6TB SATA 6Gb/s,COMPUTER,262.55
200502,SDC TJ81V TOP JAM BRACKET FOR 1581 MAG SINGLE ALUM,LOCKS,62.39
200501,SDC FP04V  1/2 X  1 1/4  X8  3/4  FILLER PLATE FOR 1581  MAG,LOCKS,40.51
200500,SDC AB13V ANGLE BRACKET 1X 1.5 X 1X1.5 X1 FOR 1581 MAG ALUM,LOCKS,54.99
200499,CV154 - CHECKVIDEO 4MP INDOOR MINI DOME CAMERA,CCTV,142.33
200498,TRUVISION NVR TVN2216P6T  22 H.265 16 CHANNEL IP 2U 6TB,CCTV,2687.38
200497,LG 43LW340C 43 LED TV 1920x1080 HDMI RGB,CCTV,789.1
200496,Avigilon HD NVR3 PRM 84TB NA 2U Rack Mnt WS2012R2,COMPUTER,16658.29
200495,Avigilon HD-RMWS3-2MN-NA RM Workstation,COMPUTER,1156.55
200494,Trendnet TI-PG80 8P Hardened Ind. Gig PoE+ Din-Rail Switch,COMM,123.25
200493,Trendnet TI-PG62 6P Hardened Ind. Gig PoE+ Din-Rail Switch,COMM,186.37
200492,Trendnet TI-S24048 Din Rail 48V 240W Power Supply,COMM,152.04
200491,Trendnet TI-PG541 5P Hardened Ind. Gig POE+ Din-Rail Switch,POWER,9.5
200490,"Tycon TPSK 12/24-280W, 280W Solar Kit w/ 20A Control, 12/24V",COMM,1026.1
200489,"Tycon RPST-PWRVNT-24, 12/24V POWER VENT FOR RPST ENCLOSURES",CCTV,28.03
200488,"ELECTRIC POWER TRANS EPT - 2, 2 WIRE VOND DUPRIN DARK BRONZE",LOCKS,237.64
200487,ANGLE BRACKET  AB-712-28  FOR 8371   1-1/2X1-1/2X9   ALUM,LOCKS,22
200486,FILLER PLATE RCI  FB-713  ALUM   5/8 X 3/4X9-3/8   FOR 8371,CCTV,16.2
200485,FILLER PLATE RCI  FB-712  ALUM 1/2X 3/4X9-3/8   FOR 8371,LOCKS,15.3
200484,4S Box Mounting Adapter for CV181N,CCTV,15
200483,Recessed Ceiling Mount for CV181N,CCTV,20
200482,"CV181N 6MP Panaramic Dome; Outdoor, IR LED",CCTV,260
200481,Omnimount RE-12W | 12U Wall Mount Rack System,BOXES,167.47
200480,Axis T91A47 Pole Mount for 33 Series Cameras,CCTV,60.68
200479,"Truvision TVD-4405 HD-TVI, 1080p, 2.8-12mm, Day/Night, IP66,",VIDCAMERA,140.01
200477,Intel E10GSFPSR SFP+ Transceiver Module,COMM,125.02
200476,"APC BE650G1 Back-UPS 650, 8 Outlet",POWER,106.99
200475,Dortronics 1106 angle brackets - 1.5x1.5x8.25 1192-06,LOCKS,37.84
200474,*Discontinued product,COMM,16.07
200472,"V6I-12, Complete with Mounting Plate",COMM,744.2
200471,Axis P1427-LE 5MP HDTV Outdoor Bullet IP Security Camera - B,CCTV,655.61
200470,Trendnet TEG-30284 28P switch with 24 GB ports & 4 10G SFP+,COMM,342.96
200469,RCI 8801EL-36- 24   RIM EXIT DEVICE 36 628 LATCH RET FOR ALU,LOCKS,639.4
200468,Avigilon ENC-4P-H264 | 4 Port H.264 Analog Video Encoder,VIDRECORD,247.82
200467,"Avigilon 1.0W-H3-BO2-IR | 1MP, 720P, WDR HD Bullet, 9-22mm,",VIDCAMERA,270.04
200466,"Avigilon 3.0W-H3-BO1-IR | 3MP, WDR HD Bullet 3-9mm, IR",VIDCAMERA,296.87
200463,360? Dual Voltage Outdoor IR Illuminator IR36,CCTV,90.49
200462,"ADTRAN, 1100HSPH23012   PROCLOUD SW ,5X8XNBD 1YEAR 24PORT",CCTV,97.3
200461,"Adtran 1535P ,24P, Gigabit Ethernet Switch with ActivReach 1",CCTV,2416.98
200460,"AIPHONE COPIXDF4 ,  4 BUTTON NETWORK DOOR STATION",INTERCOM,1036.78
200459,Trendnet TEG-10GBSR SFP+Transceiver Module,COMM,109.18
200458,"Avigilon HD-NVR3-PRM-56TB-NA | Server, 56TB Storage, 2U RM",COMPUTER,15896.01
200454,Axis T94A01D Pendant Kit 5502-431,CCTV,36.99
200453,"BOSCH VJM-4016-US ,16 CHANNEL ENCODER",CCTV,1056.16
200452,"TRIGON SM1000CAP , MINI GUARD 4D SURFACE SS",INTERCOM,979.42
200451,Aiphone JPDV Video Door Station Vanal Surface for JP series,INTERCOM,236.47
200450,"Axis M3045V, 2MP, Vandal, WDR, 2.8M, HDMI Dome 0804001",CCTV,209.87
200449,"Dell OptiPlex 5040, SFF, 8GB DDR3L, 500GB HDD",COMPUTER,2420.72
200448,"Architectural Reader, Elevator Etch Glass Only, Square 4 x",READERS,285
200447,LG LW340C Series 43 LED TV,SPECIAL,512.98
200446,Tripp Lite LCD DWT2655XE Wall Monitor Mount 26-55,SPECIAL,51.25
200445,"Geovision GV-VD2540 | 2MP, H.264 3x Zoom, WDR, IR, IP Dome",VIDCAMERA,421.06
200444,Trendnet TEG-424WS 24P Switch W/4GB Ports & 2 GBIC Slots,COMM,115.17
200443,Trendnet TEG-160WS 16P Gigabit Smart Switch,COMM,238.39
200442,Trendnet TPE-1620WS 16P POE Switch W/SFP Slots,COMM,308.95
200441,"Avigilon 4C-ACC5-ENT | ENT. License, 4 Cameras",VIDCAMERA,577.5
200440,"Avigilon 8C-ACC5-ENT | ENT. License, 8 Cameras",VIDCAMERA,1145
200439,"Avigilon 24C-ACC5-ENT | ENT. License, 24 Cameras",VIDCAMERA,3682
200438,"Avigilon 2.0C-H4A-BO1-IR | 2MP, WDR, H4HD Bullet 3-9mm",VIDCAMERA,628.12
200437,"Avigilon 3.0C-H4A-BO1-IR | 3MP, WDR, H4HD Bullet 3-9mm",VIDCAMERA,657.63
200436,"Avigilon 9W-H3-3MH-DP1-B | 3x3 MP, WDR Day/Night 2.8-8mm SMD",VIDCAMERA,1125
200435,"Avigilon HD-NVR3-PRM-56TB-NA | 2U, RM WS2012R2 Server",COMPUTER,14460.27
200434,Avigilon 2MN-HD-RMWS | Remote Monitoring Workstation,COMPUTER,1164.52
200433,Avigilon H4-MT-POLE1 | Pole Mount Adapter,SPECIAL,64.26
200432,Avigilon H4-BO-JBOX1 | J. Box for H4A-BO-IR Bullet Cameras,BOXES,64.13
200431,Avigilon H3-BO-JB | J. Box for H3-BO-IR Bullet Cameras,BOXES,54.36
200430,"Avigilon 1.0-H3-D1 | 1MP, 720p, HD H264 Indoor Dome, 3-9mm",VIDCAMERA,90.66
200429,"Avigilon 1.0-H3-DP2 | 1MP, 720p, HD H264 Pend Dome, 9-22mm",VIDCAMERA,293.74
200428,"Avigilon 2.0-H3-DP1 | 2MP, 1080p, HD H264 Pend Dome, 3-9mm",VIDCAMERA,275.84
200427,"Avigilon 1.0W-H3-BO1-IR | 1MP, 720p,WDR HD Bullet, 3-9mm, IR",VIDCAMERA,261
200426,"Avigilon 2.0W-H3-BO1-IR | 2MP,1080p,WDR HD Bullet, 3-9mm, IR",VIDCAMERA,279.12
200425,Avigilon HD-NVR2-2ND-PS | Secondary Redundant Power Supply,POWER,153.2
200424,"Avigilon 15.0TB-HD-NVR2 | Server, 15TB Storage, 2U RM",COMPUTER,4856.98
200423,AXIS Q3505-V FIXED DOME NETWORK CAMERA,VIDCAMERA,1185.64
200422,AXIS P5515-E  PTZ DOME NETWORK CAMERA,VIDCAMERA,1683.3
200421,*Discontinued product,INTERCOM,949.99
200420,Aiphone JKS-IPED IP Video Intercom Set,INTERCOM,983
200419,Axis T91B52 Extension Pipe - 12 or 39 - 1.5 Thread,VIDCAMERA,35.77
200418,"Axis T94K01D Pendant  Kit for P32-V, P-33-V, & Q3505-V - 1.5",VIDRECORD,28.99
200417,"ALTRONIX RBSN,  RELAY MODULE 12/24VDC , SPDT",POWER,11.84
200416,SCHLAGE SERIII-W-BLK SCRAMBLED KEYPAD BLACK 12/24VDC,READERS,1104.02
200415,SALTO Wireless Reader AE90IMBG3A8S,READERS,273.16
200414,Model PPD800 SALTO Portable Programming Device (PPD).,LOCKS,24.78
200413,Salto lock Model LA1T1770A24IMSRH,LOCKS,174.01
200412,*Discontinued product,POWER,238.8
200411,ZMM-II WIRING HARNESS,BOXES,48.54
200410,ZMM-II ENCLOSURE 24x30x6,BOXES,189
200409,"ZMM-II ENCLOSURE W/HARNESS, 24x30x6",BOXES,385.37
200408,Aiphone IS-PU-UL 45VDC 2.1A Power Supply,POWER,340.25
200406,BLE Wall/RFID Reader,BLE,171.85
200402,BLE Mullion/RFID Reader,BLE,785.77
200399,"BLE Arch Reader, Complete+Cover,Glass,(less DB)-SPECIAL",BLE,324.05
200398,"TRUVISION 1.3MP , PTZ DOME ,SM , IP54 ,POEPLUS 24VAC",CCTV,1103.81
200397,"Aiphone RY-IP44, IP Programmable Input/Output Relay Adaptor",INTERCOM,1351.78
200396,AIPHONE ISDVFHID FLUSH VIDEO DOOR STATION  W/ HID PROX,INTERCOM,505.55
200395,ULTRA-SLIM KEYPAD PIEZO MULLION BACKLIT GOPROX BLACK,READERS,144.81
200394,"STI SS-2108X STOPPER STATION, PNEUMATIC ADJ TIMER",KEYPD/SW,250.79
200393,SES CAT-RS485 EXPANSION CONVERSION KIT,SPECIAL,97.7
200392,SES CAT-RLY-8 ELV/AUX RELAY MODULE,RELAYS,476.42
200391,SES CAT-4-HF TELEPHONE ENTRY SYSTEM,PHONES,1651.65
200390,Axis P3225 1080P - Vandal 3-10m IP66,CCTV,455.99
200389,Aiphone IP Video door station flush mount IX-DF,INTERCOM,778.05
200388,FILLER PLATE 85.50 3/4 X 1-1/4 X 11 US28 FOR 2011/3000/3101,LOCKS,28.5
200387,D-LINK DSR-250 8-Port Gigabit VPN Router,COMM,135.64
200386,"AXIS M3044-V ,IP 1.3MP ,HDTV  720P  FIXED MINI DOME",VIDCAMERA,159.56
200385,Avigilon 9W-H3-3MH-DO1 3x3 MP OD Multisensor camera 2.8-8mm,VIDCAMERA,1150.8
200384,MorphoAccess Sigma Lite + Prox biometric reader,READERS,769.99
200382,DIN-RAIL-MC2 FOR HIRSCHMANNPS14P POE SWITCH,CCTV,30.38
200381,HIRSCHMAN PS14P-48VDC POE POWER SOURCE CONVENIENT SWITCH,CCTV,360.43
200380,ARCH READER BLE  BACK BOX  ALUM SURFACE MOUNT,BOXES,73.86
200379,CV1600 16 channel video encoder,CCTV,185
200378,Rosslare AYC-E65BW Ultra Slim Piezo Mullion Backlit goPROX K,READERS,138.41
200377,Tripp-Lite PDUMH15ATNET Web Accessible Power Strip 8P,POWER,451.22
200376,"Adams Rite 7400 E. Strike 1-1/4 x 4-7/8, 12AC/DC-24AC/DC Sel",LOCKS,132.68
200375,Hager ET-45NL WTN 24V EL 26D RHR Electrified Trim Set for Ha,LOCKS,460.5
200373,aptiQ MT20 Multi-Technology Enrollment Reader USB,READERS,337.64
200372,"AXIS P5514-E OUTDOOR PTZ DOME IP PANO CAMERA 12X, AUTO",CCTV,870.38
200371,"AXIS P5514 PTZ DOME IP PANO CAMERA 12X, AUTO",CCTV,725.2
200369,Altronix Waypoint 17A4U Power Supply 24 VAC or 28 VAC - 4P,POWER,130.74
200368,ADTRAN Netvanta 3140RM Router GigE,SPECIAL,550.24
200367,BLE MULLION RDR w/AUX RDR INPUT,READERS,157
200366,"Custom Welded 2-piece bracket assembly, CV167 Mounting Holes",CCTV,57.38
200365,"CV4IP1001, 2GB*2 RAM, 16GB SSD, 6TB HDD",CCTV,674.55
200364,DMP 263C/381-2 Cellular kit,COMM,174.61
200363,DMP PKG-XR150 NFC Fire Alarm Package,ALARMS,513.24
200362,"TRUVISION TVR1216HD2T , DVR 1080P ,HD, H.264 16CHANNEL",CCTV,576.32
200361,Accessory: In ceiling (flush mount adapter) Model # FD-FK,CCTV,38.65
200360,Camera model # FD5-V96,VIDCAMERA,192.7
200359,IBC Q-Scan-Mini 2D Barcode Scanner model Q-SCANMINI-G0,READERS,852.19
200358,ALTRONIX PS 8A 24VDC 16 PTC OUT,POWER,219.99
200357,AIPHONE RY-IP44 4 IN/OUT RELAY ADAPTOR,INTERCOM,231.52
200356,AXIS P3225LV/1080P/VANDM/3-10M/ZIPS,VIDCAMERA,411.42
200355,SENECA NEXTLINK 1250 SERIES WORK STATION,CCTV,1076.06
200354,VIKING VOIP EMERGENCY PHONE E1600-32-IP,PHONES,489.99
200353,HID MULTICLASS SE RP10 MINI MULLION READER,READERS,129.99
200352,"TruVision TVR1216HD8T , DVR 12HD, 1080p HD, H.264, 16CH",VIDRECORD,1007.77
200351,"Tycon TPBAT12-50, 12V 51AH GEL SLA Battery",POWER,215.81
200349,Aiphone 16/2 SOL DB 1000' Cable 851602DB,WIRE,0.45
200348,Tripp Lite SRW12UHD Smart Rack 12U HD low profile side mount,SPECIAL,548.99
200347,AIPHONE JPS-4AEDV 7 COLOR VANDAL SET W/JP-DV,INTERCOM,1778.99
200345,"Glass, Elevator Architectural Reader, 4x4",READERS,282.83
200344,"TRUVISION TVP-4102 PTZDOME, NTSC ,700TVL ,23X, D/N DWDR IP44",CCTV,928.86
200343,"BLE Arch Reader, Electronic Housing Only, 1249",BLE,186.87
200342,DELL Precision Workstation T3620 Mini Tower,COMPUTER,907.26
200341,"BLE Thinline PR40 RDR Assembly, 1267 RDR PR40 Assembly",BLE,162.19
200340,"APC BR1300G 1300VA BACK-UPS 10 OUTLET, AVER, 120V",CCTV,199.09
200339,TRENDNET 4 GIG-POE+/1GIG-PRT/31WATTS SWITCH TPETG50G,CCTV,56.99
200338,AJ-GTD AIPHONE GTD AUDIO DOOR STATION,INTERCOM,73.15
200333,Inovonics EN4204R Add-On Receiver with Relay Outputs,CONTROL,152.99
200332,Inovonics EN1235SF Single-Button Fixed Position Hold Up Tran,CONTROL,72.48
200331,P3215VE/2MP/VANDOM/3-10MM/IP66 AXIS,CCTV,547.33
200330,Pelco TW4001P 1 Chnl Transceiver F/UTP,SPECIAL,25.91
200329,HES 8500 630 Electric Strike,LOCKS,244
200328,"RCIPRD-1122 Aluminum box surface mount, BLE Archectectural r",BOXES,57.65
200327,"TRUVISION IP ENCODER ,8CH ,960H, AUDIO",CCTV,198.86
200325,"TRUVISION, TVE1610, IP ENCODER ,16CH 960H",CCTV,759.98
200324,"Axis Q1932-E Outdoor Thermal Camera IP66, 640X480 30FPS/18-d",VIDCAMERA,7241.05
200323,HELIOS IP CARD READER FOR 2N HELIOS IP VARIO,READERS,80.44
200322,2N HELIOS IP VARIO 3X2 BUTTON + KEYPAD + CAMERA + DISPLAY,INTERCOM,792.99
200321,Hoffman 12x12x4 Nema1 screw cover box - metal,BOXES,20.28
200320,"Honeywell Fire Communicator IP/4G COMM. DUAL PRIMARY, UL",CONTROL,552.69
200319,Bioscrypt 4G V-STATION 4GSTS Biometric Reader,READERS,1100.53
200317,TRUVISION TRUVISION TVC-7120-1-N 700TVL/960H BOX CAMERA D/N,VIDCAMERA,111.55
200316,"TRUVISION TVP-3101 1.3MP, PTZ DOME OUTDOOR IP66",VIDCAMERA,1213.29
200315,"200315TRUVISION TVP-4104  PTZ ,36X, 700TVL D/N OUTDOOR 24VAC",VIDCAMERA,970.64
200314,SCHLAGE ENGAGE SERIES WIRELESS GWE GATEWAY,LOCKS,235.76
200313,"SCHLAGE ENGAGE SERIES NDE WIRELESS LOCK, CYLINDRICAL",LOCKS,291.34
200312,DELL Precision Workstation T3620 Mini Tower,VIDCAMERA,1653.33
200311,Laird Tech 4G/3G Multiband Phantom Antenna Tessco TRA6,SPECIAL,59.44
200310,1' RG58 Jumper N Male to SMA Male  Tessco RG58NMSM,SPECIAL,29.36
200308,"ARMORD DOOR CORD , ALUMINUM END CAP, SILVER",ALARMS,22.34
200307,"RACK MOUNTED 2200VA , SMT2200RM2U  UPS LCD 2U 120V",POWER,983.16
200306,"LOCK, ANGLE BRACKET 4901A  1INCH X 1INCH FOR M490 ALUM",LOCKS,60
200305,"LOCK, ANGLE BRACKET 4902A  1-1/2X  1FOR M490 ALUM",LOCKS,65
200304,"LOCK, ANGLE BRACKET 4903A  1-1/2X 1-1/2 FOR M490 ALUM",LOCKS,47.55
200303,Pelco EH4718-2 Medium Enclosure,CCTV,463.28
200302,Samsung SLA-550DV 5-50 mm Lens,CCTV,80.55
200301,Samsung SCB-3003 Analog Box Camera,VIDCAMERA,96.99
200300,"TRUVISION, TV42082T  DVR 42,960H  H264  8CH",VIDCAMERA,870.18
200299,"TRUVISION , TRV1208HD2T DVR 12HD 1080PHD H264, 8CH",VIDCAMERA,490.93
200298,"TRUVISION , TVN 1008S2T  NVR 10, 8CH , 2TSTORAGE",VIDCAMERA,590.76
200297,"TRUVISION TVN21082T NVR21 ,8CH ,2TB STORAGE",VIDCAMERA,1152.63
200296,Axis outdoor 60HZ PTZ IP Dome 1080P Camera P5415-E 0589-001,CCTV,1471.99
200295,Aiphone GT1ML 3.5 color video tenant station,INTERCOM,325.84
200294,AIPHONE  245800 TL-2000 SURFACE MOUNT BOX,INTERCOM,147.33
200293,Pelco EM22 Medium-Dutyh Wall Mount,CCTV,65.72
200292,Altronix WayPoint30A4U 24VAC/28VAC (4) Outputs,POWER,204.22
200291,Aiphone 1Gang SS Audio Flush Mount door station LE-SS-1G,INTERCOM,79.99
200289,4461030 composite access control wire,WIRE,0.74
200288,Dortronics 300# Maglock 12/24VC Wide Style Mini-Mite lock,LOCKS,499.22
200287,Code Blue IP5000 phone,PHONES,1055.63
200283,"BLE Thinline Space, HID Thinline, 1260 RDR complete with DB",BLE,168.42
200281,1263BLE ARCH RDR COMBO WITH DAUGHTER BD                     ,CONTROL,294.08
200280,TRUVISION TVT-4103 700TVL 3.3-12MM VF AUTO IRIS25M,CONTROL,187.61
200279,"Pelco, dome wall mount f/ spectra series #IWM24-GY",CCTV,172.2
